fecha,estacion,temperatura,precipitacion,vel_Viento,presion_barometrica,dir_viento,humedad_rel,mes,año,nombre_estacion,dir_cardinal,estacion_año,monoxido_nitrogeno
15/01/2019,24,5.4,0.0,0.79,947.0,333.0,67.0,1,2019,Casa de campo,Norte,Invierno,48.0
15/02/2019,24,6.9,0.0,0.75,954.0,344.0,66.0,2,2019,Casa de campo,Norte,Invierno,27.0
15/03/2019,24,12.2,0.0,1.1,954.0,308.0,46.0,3,2019,Casa de campo,Oeste,Primavera,13.0
15/04/2019,24,16.3,0.0,2.17,940.0,225.0,61.0,4,2019,Casa de campo,Sur,Primavera,7.0
15/05/2019,24,22.7,0.0,1.39,939.0,333.0,31.0,5,2019,Casa de campo,Norte,Primavera,4.0
15/06/2019,24,18.8,0.0,1.9,945.0,47.0,35.0,6,2019,Casa de campo,Noreste,Verano,1.0
15/07/2019,24,27.6,0.0,1.66,941.0,333.0,30.0,7,2019,Casa de campo,Norte,Verano,2.0
15/08/2019,24,26.9,0.0,1.38,946.0,284.0,27.0,8,2019,Casa de campo,Oeste,Verano,1.0
15/09/2019,24,18.2,4.1,1.07,946.0,352.0,85.0,9,2019,Casa de campo,Norte,Otoño,1.0
15/10/2019,24,11.2,0.0,1.92,946.0,223.0,60.0,10,2019,Casa de campo,Sur,Otoño,1.0
15/11/2019,24,-29.6,0.0,0.21,859.0,90.0,14.0,11,2019,Casa de campo,Noreste,Otoño,1.0
15/12/2019,24,8.8,0.0,1.49,939.0,205.0,86.0,12,2019,Casa de campo,Sur,Invierno,1.0
16/01/2019,24,3.2,0.0,1.07,945.0,263.0,80.0,1,2019,Casa de campo,Suroeste,Invierno,32.0
16/02/2019,24,9.3,0.0,1.54,953.0,106.0,55.0,2,2019,Casa de campo,Este,Invierno,8.0
16/03/2019,24,14.0,0.0,1.28,949.0,96.0,43.0,3,2019,Casa de campo,Este,Primavera,7.0
16/04/2019,24,14.9,0.0,1.56,944.0,186.0,48.0,4,2019,Casa de campo,Sur,Primavera,5.0
16/05/2019,24,20.4,0.5,2.54,936.0,306.0,36.0,5,2019,Casa de campo,Oeste,Primavera,2.0
16/06/2019,24,21.5,0.0,1.34,945.0,323.0,29.0,6,2019,Casa de campo,Norte,Verano,1.0
16/07/2019,24,28.8,0.0,1.52,941.0,337.0,29.0,7,2019,Casa de campo,Norte,Verano,2.0
16/08/2019,24,28.5,0.0,1.71,945.0,31.0,34.0,8,2019,Casa de campo,Norte,Verano,1.0
16/09/2019,24,19.9,0.0,1.08,946.0,90.0,77.0,9,2019,Casa de campo,Noreste,Otoño,4.0
16/10/2019,24,12.6,0.0,1.61,945.0,205.0,58.0,10,2019,Casa de campo,Sur,Otoño,7.0
16/11/2019,24,-28.8,0.0,0.23,864.0,90.0,17.0,11,2019,Casa de campo,Noreste,Otoño,2.0
16/12/2019,24,9.7,0.0,2.71,929.0,139.0,68.0,12,2019,Casa de campo,Sureste,Invierno,5.0
17/01/2019,24,4.1,0.0,0.64,945.0,333.0,88.0,1,2019,Casa de campo,Norte,Invierno,27.0
17/02/2019,24,8.0,0.0,1.06,950.0,13.0,46.0,2,2019,Casa de campo,Norte,Invierno,4.0
17/03/2019,24,13.3,0.0,1.79,946.0,292.0,40.0,3,2019,Casa de campo,Oeste,Primavera,1.0
17/04/2019,24,15.9,0.9,2.93,939.0,132.0,58.0,4,2019,Casa de campo,Este,Primavera,1.0
17/05/2019,24,13.1,0.7,2.67,937.0,307.0,51.0,5,2019,Casa de campo,Oeste,Primavera,1.0
17/06/2019,24,23.5,0.0,1.66,943.0,205.0,27.0,6,2019,Casa de campo,Sur,Verano,5.0
17/07/2019,24,27.4,0.0,1.7,941.0,125.0,36.0,7,2019,Casa de campo,Este,Verano,2.0
17/08/2019,24,28.6,0.0,2.14,943.0,223.0,27.0,8,2019,Casa de campo,Sur,Verano,2.0
17/09/2019,24,20.7,0.0,1.27,944.0,233.0,67.0,9,2019,Casa de campo,Suroeste,Otoño,6.0
17/10/2019,24,11.9,1.1,1.16,945.0,210.0,83.0,10,2019,Casa de campo,Sur,Otoño,8.0
17/11/2019,24,-29.0,0.6,0.25,864.0,90.0,21.0,11,2019,Casa de campo,Noreste,Otoño,1.0
17/12/2019,24,9.1,0.1,1.88,930.0,205.0,81.0,12,2019,Casa de campo,Sur,Invierno,3.0
18/01/2019,24,1.6,0.0,1.06,946.0,122.0,81.0,1,2019,Casa de campo,Este,Invierno,26.0
18/02/2019,24,7.6,0.0,0.9,946.0,345.0,63.0,2,2019,Casa de campo,Norte,Invierno,8.0
18/03/2019,24,9.8,0.0,1.92,951.0,20.0,40.0,3,2019,Casa de campo,Norte,Primavera,1.0
18/04/2019,24,10.3,20.1,1.16,940.0,299.0,93.0,4,2019,Casa de campo,Oeste,Primavera,1.0
18/05/2019,24,13.0,0.0,2.17,938.0,306.0,40.0,5,2019,Casa de campo,Oeste,Primavera,1.0
18/06/2019,24,24.2,0.0,3.0,941.0,223.0,23.0,6,2019,Casa de campo,Sur,Verano,1.0
18/07/2019,24,28.4,0.0,1.43,942.0,125.0,37.0,7,2019,Casa de campo,Este,Verano,2.0
18/08/2019,24,27.1,0.0,2.84,941.0,205.0,23.0,8,2019,Casa de campo,Sur,Verano,1.0
18/09/2019,24,21.3,0.0,1.29,943.0,254.0,58.0,9,2019,Casa de campo,Suroeste,Otoño,5.0
18/10/2019,24,16.1,0.3,2.66,942.0,223.0,86.0,10,2019,Casa de campo,Sur,Otoño,1.0
18/11/2019,24,-26.5,0.0,0.23,868.0,90.0,21.0,11,2019,Casa de campo,Noreste,Otoño,11.0
18/12/2019,24,6.2,0.0,0.99,942.0,223.0,85.0,12,2019,Casa de campo,Sur,Invierno,4.0
19/01/2019,24,1.0,3.9,0.86,942.0,194.0,94.0,1,2019,Casa de campo,Sur,Invierno,8.0
19/02/2019,24,8.1,0.0,0.95,947.0,146.0,66.0,2,2019,Casa de campo,Sureste,Invierno,8.0
19/03/2019,24,10.4,0.0,1.71,952.0,8.0,43.0,3,2019,Casa de campo,Norte,Primavera,1.0
19/04/2019,24,9.7,6.6,1.26,943.0,59.0,92.0,4,2019,Casa de campo,Noreste,Primavera,1.0
19/05/2019,24,14.9,0.0,1.41,939.0,223.0,38.0,5,2019,Casa de campo,Sur,Primavera,1.0
19/06/2019,24,21.5,0.0,3.26,942.0,205.0,47.0,6,2019,Casa de campo,Sur,Verano,1.0
19/07/2019,24,29.7,0.0,1.9,942.0,116.0,31.0,7,2019,Casa de campo,Este,Verano,2.0
